name,category,price,description,image_url
Cà phê đen,coffee,25000,Cà phê đen truyền thống đậm đà,https://images.unsplash.com/photo-1594132225292-a044de19c49e?auto=format&q=60&w=400
Cà phê sữa,coffee,29000,Sự kết hợp hoàn hảo giữa cà phê và sữa đặc,https://images.unsplash.com/photo-1510707577719-5d683204199c?auto=format&q=60&w=400
Bạc xỉu,coffee,32000,Sữa tươi pha chút cà phê cho người thích vị ngọt,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?auto=format&q=60&w=400
Cà phê trứng,coffee,45000,Đặc sản Hà Nội - cà phê phủ lớp kem trứng béo ngậy,https://images.unsplash.com/photo-1461023058943-07fcbe16d735?auto=format&q=60&w=400
Cappuccino,coffee,55000,Espresso đậm đà kết hợp sữa bọt mịn kiểu Ý,https://images.unsplash.com/photo-1572442388796-11668a67e53d?auto=format&q=60&w=400
Latte,coffee,55000,Sữa nóng mềm mượt hòa quyện cùng espresso,https://images.unsplash.com/photo-1561882468-9110e03e0f78?auto=format&q=60&w=400
Americano,coffee,40000,Espresso pha loãng giữ nguyên hương vị mạnh mẽ,https://images.unsplash.com/photo-1534778101976-62847782c213?auto=format&q=60&w=400
Cold Brew,coffee,50000,Cà phê ủ lạnh 12 tiếng - vị ngọt tự nhiên mượt mà,https://images.unsplash.com/photo-1517701604599-bb29b565090c?auto=format&q=60&w=400
Cà phê dừa,coffee,52000,Cà phê đen hoà quyện cùng nước cốt dừa béo thơm,https://images.unsplash.com/photo-1561043433-aaf687c4cf04?auto=format&q=60&w=400
Mocha,coffee,58000,Espresso kết hợp sô cô la và sữa bọt thơm ngon,https://images.unsplash.com/photo-1578314675249-a6910f80cc4e?auto=format&q=60&w=400
Cà phê muối,coffee,48000,Vị mặn ngọt lạ miệng với lớp kem muối phủ trên,https://images.unsplash.com/photo-1551030173-122aabc4489c?auto=format&q=60&w=400
Bánh sừng bò,cake,35000,Bánh Croissant thơm bơ giòn rụm,https://images.unsplash.com/photo-1555507036-ab1f4038808a?auto=format&q=60&w=400
Bánh Tiramisu,cake,45000,Vị cà phê và phô mai béo ngậy kiểu Ý,https://images.unsplash.com/photo-1571877227200-a0d98ea607e9?auto=format&q=60&w=400
Bánh cheesecake dâu,cake,55000,Cheesecake phô mai mềm mịn với topping dâu tây tươi,https://images.unsplash.com/photo-1565958011703-44f9829ba187?auto=format&q=60&w=400
Bánh brownie,cake,40000,Brownie sô cô la đậm đặc ẩm mịn tan chảy trong miệng,https://images.unsplash.com/photo-1607920591413-4ec007e70023?auto=format&q=60&w=400
Bánh mille crepe,cake,65000,Hàng chục lớp crepe mỏng xen kẽ kem tươi nhẹ nhàng,https://images.unsplash.com/photo-1464305795204-6f5bbfc7fb81?auto=format&q=60&w=400
Bánh eclair,cake,42000,Bánh su kem dài nhân kem vani phủ ganache sô cô la,https://images.unsplash.com/photo-1626200419199-391ae4be7a41?auto=format&q=60&w=400
Bánh macaron,cake,30000,Bánh macaron Pháp nhiều màu sắc vị ngọt nhẹ,https://images.unsplash.com/photo-1569864358642-9d1684040f43?auto=format&q=60&w=400
Bánh chuối nướng,cake,35000,Bánh chuối nướng truyền thống thơm ngậy dân dã,https://images.unsplash.com/photo-1481391319762-47dff72954d9?auto=format&q=60&w=400
Bánh tart chanh,cake,48000,Tart vỏ giòn nhân chanh chua ngọt thanh mát,https://images.unsplash.com/photo-1519915028121-7d3463d5b1ff?auto=format&q=60&w=400
Bánh red velvet,cake,60000,Bánh nhung đỏ phủ kem cheese trắng muốt sang trọng,https://images.unsplash.com/photo-1586788680434-30d324b2d46f?auto=format&q=60&w=400
Trà đào cam sả,drink,39000,Giải nhiệt cực tốt với hương vị thanh mát,https://images.unsplash.com/photo-1556679343-c7306c1976bc?auto=format&q=60&w=400
